Planet_Name,Orbital_Period_Days,Semi_Major_Axis_AU,Planet_Mass_Jup,Mpsini_Jup,Planet_Mass_Earth,Mpsini_Earth,Planet_Radius_Earth,Discovery_Method,Planet_Ref
K2-138 g,41.968 +0.0084 -0.0073,0.2311 +0.0015 -0.002,0.0136 +0.0165 -0.0095,--,4.32 +5.26 -3.03,--,3.013 +0.303 -0.251,Transit,<a refstr=LOPEZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A..90L/abstract target=ref>Lopez et al. 2019</a>
K2-138 f,12.7576 ± 0.0005,0.1045 +0.0007 -0.0009,0.0051 +0.0067 -0.0037,--,1.63 +2.12 -1.18,--,2.904 +0.164 -0.111,Transit,<a refstr=LOPEZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A..90L/abstract target=ref>Lopez et al. 2019</a>
TOI-7510 b,11.5309,0.1019 ± 0.002,0.0571 ± 0.0052,--,18.1 ± 1.7,--,7.31 ± 0.23,Transit,<a refstr=ALMENARA_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...704L..16A/abstract target=ref>Almenara et al. 2025</a>
TOI-7510 c,22.5687,0.1595 ± 0.0032,0.412 ± 0.036,--,131.0 ± 11.0,--,10.81 ± 0.32,Transit,<a refstr=ALMENARA_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...704L..16A/abstract target=ref>Almenara et al. 2025</a>
TOI-7510 d,48.8645,0.2672 ± 0.0053,0.597 ± 0.064,--,190.0 ± 20.0,--,10.52 ± 0.32,Transit,<a refstr=ALMENARA_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...704L..16A/abstract target=ref>Almenara et al. 2025</a>
WASP-47 c,589.57 ± 0.02,1.393 ± 0.014,1.4064 +0.0566 -0.0692,1.2551 ± 0.0286,447.0 +18.0 -22.0,398.9 ± 9.1,--,Radial Velocity,<a refstr=NASCIMBENI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...673A..42N/abstract target=ref>Nascimbeni et al. 2023</a>
WASP-47 b,4.1592 ± 0.0,0.052 ± 0.0006,1.1767 +0.0535 -0.0503,--,374.0 +17.0 -16.0,--,12.86 ± 0.1,Transit,<a refstr=NASCIMBENI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...673A..42N/abstract target=ref>Nascimbeni et al. 2023</a>
WASP-47 d,9.0305 ± 0.0,0.085 ± 0.0027,0.0488 +0.0022 -0.0028,--,15.5 +0.7 -0.9,--,3.65 ± 0.03,Transit,<a refstr=NASCIMBENI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...673A..42N/abstract target=ref>Nascimbeni et al. 2023</a>
WASP-47 e,0.7896 ± 0.0,0.0167 ± 0.0005,0.0283 +0.0019 -0.0013,--,9.0 +0.6 -0.4,--,1.83 ± 0.02,Transit,<a refstr=NASCIMBENI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...673A..42N/abstract target=ref>Nascimbeni et al. 2023</a>
K2-19 c,11.906 +0.0012 -0.0018,0.0982 ± 0.0012,0.0346 +0.0016 -0.0013,--,11.0 +0.5 -0.4,--,4.1 ± 0.2,Transit,<a refstr=ENTRICAN_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026AJ....171...46E/abstract target=ref>Entrican et al. 2026</a>
K2-19 d,2.5083 +0.0003 -0.0001,0.0348 ± 0.0004,0.0195,--,6.2,--,1.044 ± 0.064,Transit,<a refstr=ALMENARA_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...703A.167A/abstract target=ref>Almenara et al. 2025</a>
