Planeta,Zonas Estables,Zonas Inestables,Zonas Colisión m2,Área Estable (km²),Área Inestable (km²),Área Colisión m2 (km²)
TOI-1470 b,163,9822,15,47400000000.0,2860000000000.0,4360000000.0
TOI-1470 c,161,9823,16,648000000000.0,39500000000000.0,64400000000.0
TOI-1634 b,124,9865,11,10600000000.0,842000000000.0,939000000.0
TOI-1749 b,405,9588,7,123000000000.0,2910000000000.0,2120000000.0
TOI-1749 c,200,9792,8,141000000000.0,6880000000000.0,5620000000.0
TOI-1749 d,206,9788,6,369000000000.0,17500000000000.0,10700000000.0
TOI-1752 b,108,9872,20,10200000000.0,932000000000.0,1890000000.0
TOI-1752 c,136,9846,18,1270000000000.0,91800000000000.0,168000000000.0
TOI-2015 b,226,9762,12,69600000000.0,3010000000000.0,3690000000.0
TOI-2015 c,223,9767,10,136000000000.0,5950000000000.0,6090000000.0
TOI-2095 b,121,9865,14,442000000000.0,36000000000000.0,51100000000.0
TOI-2095 c,169,9820,11,1140000000000.0,66000000000000.0,73900000000.0
TOI-2096 b,120,9861,19,26900000000.0,2210000000000.0,4250000000.0
TOI-2096 c,179,9803,18,103000000000.0,5620000000000.0,10300000000.0
TOI-2267 b,101,9882,17,15200000000.0,1490000000000.0,2560000000.0
TOI-2267 c,120,9864,16,29700000000.0,2440000000000.0,3960000000.0
TOI-2267 d,252,9731,17,19000000000.0,733000000000.0,1280000000.0
TOI-237 b,165,9820,15,68700000000.0,4090000000000.0,6250000000.0
TOI-237 c,136,9845,19,12500000000.0,902000000000.0,1740000000.0
TOI-270 b,89,9889,22,32600000000.0,3620000000000.0,8050000000.0
TOI-270 c,165,9821,14,121000000000.0,7200000000000.0,10300000000.0
TOI-270 d,134,9852,14,249000000000.0,18300000000000.0,26100000000.0
TOI-406 c,98,9884,18,36400000000.0,3670000000000.0,6680000000.0
TOI-406.01,165,9822,13,387000000000.0,23000000000000.0,30500000000.0
TOI-4336 A b,134,9852,14,346000000000.0,25400000000000.0,36100000000.0
TOI-4336 A c,98,9886,16,91000000000.0,9180000000000.0,14900000000.0
TOI-4342 b,142,9844,14,137000000000.0,9490000000000.0,13500000000.0
TOI-4342 c,114,9870,16,264000000000.0,22800000000000.0,37000000000.0
TOI-5799 b,136,9845,19,59000000000.0,4270000000000.0,8240000000.0
TOI-5799 c,137,9843,20,300000000000.0,21600000000000.0,43800000000.0
TOI-663 b,118,9866,16,36800000000.0,3070000000000.0,4990000000.0
TOI-663 c,109,9877,14,74500000000.0,6750000000000.0,9570000000.0
TOI-663 d,126,9861,13,150000000000.0,11700000000000.0,15400000000.0
TOI-700 b,77,9902,21,126000000000.0,16300000000000.0,34500000000.0
TOI-700 c,174,9814,12,538000000000.0,30300000000000.0,37100000000.0
TOI-700 d,87,9892,21,831000000000.0,94500000000000.0,201000000000.0
TOI-700 e,78,9899,23,502000000000.0,63600000000000.0,148000000000.0
TOI-756 b,183,9799,18,21200000000.0,1140000000000.0,2090000000.0
TOI-756 c,988,9007,5,68200000000000.0,622000000000000.0,345000000000.0
TOI-771 b,136,9845,19,21100000000.0,1530000000000.0,2940000000.0
TOI-771 c,146,9837,17,111000000000.0,7450000000000.0,12900000000.0
TOI-776 b,120,9864,16,183000000000.0,15100000000000.0,24400000000.0
TOI-776 c,143,9845,12,513000000000.0,35300000000000.0,43100000000.0
TRAPPIST-1 b,159,9825,16,7580000000.0,469000000000.0,763000000.0
TRAPPIST-1 c,155,9831,14,13900000000.0,879000000000.0,1250000000.0
TRAPPIST-1 d,92,9890,18,16300000000.0,1760000000000.0,3200000000.0
TRAPPIST-1 e,112,9871,17,34300000000.0,3020000000000.0,5210000000.0
TRAPPIST-1 f,137,9844,19,72700000000.0,5220000000000.0,10100000000.0
TRAPPIST-1 g,156,9830,14,123000000000.0,7720000000000.0,11000000000.0
TRAPPIST-1 h,89,9888,23,122000000000.0,13600000000000.0,31500000000.0
Teegarden's Star b,141,9844,15,33900000000.0,2360000000000.0,3600000000.0
Teegarden's Star c,133,9853,14,98600000000.0,7300000000000.0,10400000000.0
Teegarden's Star d,116,9868,16,260000000000.0,22100000000000.0,35800000000.0
Wolf 1061 b,105,9873,22,52900000000.0,4970000000000.0,11100000000.0
Wolf 1061 c,137,9845,18,389000000000.0,27900000000000.0,51100000000.0
Wolf 1061 d,207,9788,5,16400000000000.0,774000000000000.0,396000000000.0
YZ Cet b,98,9883,19,9370000000.0,945000000000.0,1820000000.0
YZ Cet c,114,9868,18,19000000000.0,1640000000000.0,3000000000.0
YZ Cet d,112,9871,17,32600000000.0,2870000000000.0,4950000000.0
